,Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
6003,LAWYER,17013,378381757673759,06/32,226,1
2112,ENGINEER,65691,5461638963402860,07/26,632,0
7480,DOCTOR,26994,38842417100543,05/31,302,0
5973,DOCTOR,22154,3506586228863693,08/27,303,0
4529,ENGINEER,24703,4575691625435,09/34,16,1
8828,DOCTOR,92136,4630046024969498,07/34,651,0
8972,ENGINEER,6887,38303428553139,06/34,827,0
3548,DOCTOR,4953,3599955939178949,07/27,341,1
1384,ENGINEER,80093,3543178112926771,09/33,919,0
4551,LAWYER,58193,3532301216885064,03/29,547,1
843,LAWYER,70037,4480446002040430,05/29,600,0
8416,DOCTOR,27884,4805174635443262,03/26,942,0
446,ENGINEER,80834,4966310801392,04/28,679,1
4360,LAWYER,40020,30092611201816,11/29,957,1
7716,LAWYER,46118,30050275397270,05/34,744,0
9576,LAWYER,3545,6011085417180655,03/30,529,1
6530,DOCTOR,78652,30571110659897,09/28,980,0
7450,ENGINEER,63113,376674321092833,04/27,8303,0
4964,DOCTOR,47357,560188762945,06/29,853,0
1217,LAWYER,74342,3594045730324044,06/29,794,0
9246,LAWYER,63698,30017740365844,11/26,662,0
7135,ENGINEER,83979,4368911645825,03/28,482,0
9934,DOCTOR,23525,2250543100278565,04/28,617,0
4955,DOCTOR,20126,3575928212646286,02/33,592,0
426,DOCTOR,33926,30407776586019,10/28,941,0
251,ENGINEER,28898,639097859156,02/34,985,0
8116,LAWYER,42974,501893501228,02/25,8944,0
6484,DOCTOR,33788,180002466448881,02/28,791,0
4226,ENGINEER,11698,378129222725716,08/29,602,0
413,ENGINEER,64661,5524372686709790,01/26,799,0
2318,DOCTOR,29290,4905361466200,10/30,45,0
3280,ENGINEER,877,4862385142776073128,06/26,386,1
5654,LAWYER,74658,347859948029732,07/30,156,1
3301,LAWYER,92965,3561520285007227,07/25,532,0
7598,DOCTOR,2181,4640906482649833,12/32,414,0
8994,LAWYER,75259,30292693842590,10/31,61,0
2421,ENGINEER,89553,6567040682646953,09/25,42,0
5095,LAWYER,3354,30594686678109,07/25,979,1
624,ENGINEER,30055,213119758431176,12/31,8346,0
9839,ENGINEER,79153,3544552763645766,10/34,313,1
3091,DOCTOR,32176,372080688140195,02/25,751,0
1319,ENGINEER,80368,213193119551683,12/28,372,0
6138,DOCTOR,23729,6576567852932556,01/27,583,0
9183,DOCTOR,19942,4351026831578929,04/29,82,0
9916,DOCTOR,37477,4977681937395794435,05/29,459,1
3097,LAWYER,35867,4649029906148539,01/30,2751,0
2079,ENGINEER,66232,5335572309872342,12/29,213,0
6331,LAWYER,37103,4230294524776708,08/29,260,0
8549,DOCTOR,66792,6527217900637886,04/28,525,0
954,LAWYER,12283,4566618373988002,06/25,610,0
4715,LAWYER,93015,4526046617025524304,06/30,128,0
7204,DOCTOR,62811,30547385007558,06/28,537,1
5522,LAWYER,99555,676227372494,05/34,695,0
8223,DOCTOR,19798,4032742472959338,01/34,829,1
4528,ENGINEER,80131,30102006747982,09/25,586,0
991,ENGINEER,10814,347111491475650,11/24,122,0
1543,DOCTOR,62973,30479786282681,07/31,919,0
5573,DOCTOR,16072,30304086318748,03/29,791,1
6244,ENGINEER,63188,2293370427452973,06/25,756,1
3792,ENGINEER,17704,4126104396808306,10/34,528,0
1120,DOCTOR,38261,180065739292683,11/28,16,1
9979,LAWYER,45151,3576323167406705,10/25,5958,1
9767,LAWYER,70567,180067295938303,12/26,77,0
69,ENGINEER,62273,3563093124187764,08/28,856,1
3361,DOCTOR,27149,4310983846170488437,11/28,731,0
3797,LAWYER,30635,4595106222238733,10/25,270,0
7462,DOCTOR,8341,4136943620217570,07/31,950,1
5087,DOCTOR,75348,30113020714189,04/32,476,1
8941,DOCTOR,7501,3549553646875765,03/33,361,1
5083,LAWYER,23176,502007271823,09/33,673,0
5654,LAWYER,74658,347859948029732,07/30,156,1
624,ENGINEER,30055,213119758431176,12/31,8346,0
7903,LAWYER,84349,6591072343512761,11/29,754,0
1049,LAWYER,74317,370723280799833,06/28,645,1
6604,ENGINEER,28302,30107991367175,01/34,690,0
4787,ENGINEER,89814,374659209471961,10/29,812,0
8160,ENGINEER,1481,4844366597231478,11/32,5624,0
205,LAWYER,29859,213135180772243,04/27,263,0
7396,DOCTOR,22110,4315346892022662218,04/29,583,1
2857,DOCTOR,67216,6547734254752232,01/28,754,1
9048,ENGINEER,64294,340436715350364,07/28,30,0
8833,DOCTOR,90842,3595788757373399,12/33,241,0
2204,DOCTOR,82946,4165173851062396,07/32,724,1
9418,DOCTOR,25587,503827527311,03/34,970,0
7809,ENGINEER,77428,4820748253990769969,04/34,833,1
5789,ENGINEER,18958,3540270889949541,01/28,678,1
8464,LAWYER,82478,4783040923457270,09/30,106,1
7671,DOCTOR,32128,342027534568019,08/25,776,0
5389,LAWYER,98446,60468577428,03/28,892,1
8153,ENGINEER,23231,3559330237923123,05/30,830,0
4540,ENGINEER,10237,576820130812,05/34,9173,0
5536,ENGINEER,95764,4873051677647462,04/27,888,0
2585,ENGINEER,39587,4905986024866491,07/31,87,0
8234,LAWYER,54544,4252308015461326852,10/30,485,0
3137,ENGINEER,6521,3516835401471800,03/30,807,0
7907,LAWYER,91843,4562683913213539,05/31,674,0
8157,DOCTOR,68657,4895530719930683,04/26,358,1
1016,DOCTOR,90793,3507238810466084,09/31,688,1
8253,DOCTOR,88693,3542639568104263,03/27,309,0
8921,ENGINEER,47541,2236904063689116,12/31,648,0
6967,ENGINEER,34925,3587339512480127,12/31,350,1
7805,DOCTOR,84321,6011553664551274,03/29,591,0
3211,ENGINEER,55786,180079779443866,11/25,89,0
372,LAWYER,34158,2272177526039360,07/33,873,0
3459,DOCTOR,89046,30598068426375,06/25,368,1
5648,LAWYER,97696,30525344977939,09/27,237,1
3059,LAWYER,33485,3570050243363867,06/25,327,0
7627,ENGINEER,59615,349134353908517,06/25,301,1
4725,DOCTOR,10371,36709334985193,11/27,531,0
5300,ENGINEER,8515,2228207054678365,06/31,967,0
1767,LAWYER,60191,4307400654681208,12/30,5602,1
9760,DOCTOR,19649,3563503870546989,11/29,310,0
458,ENGINEER,10757,4896048405215212525,03/26,877,0
3566,LAWYER,21440,3552572570784938,09/33,947,0
5942,ENGINEER,48611,501896465744,03/26,463,1
1345,DOCTOR,49804,4232750178860,09/31,167,1
8924,ENGINEER,45767,6513583508547207,10/25,66,0
9993,DOCTOR,99718,3593013226815132,06/27,718,0
6159,DOCTOR,31671,4550138257308968339,03/28,526,1
6899,ENGINEER,28288,4157557554948903,05/33,198,0
5501,LAWYER,41461,5464983581174351,01/28,1,0
2166,LAWYER,90132,4662547544306716,06/25,229,0
7962,ENGINEER,16662,3589635083690566,10/27,219,0
4682,LAWYER,17730,4464869584827389,10/34,876,0
1601,ENGINEER,71053,565856945995,04/30,139,0
6685,LAWYER,53521,6011856831054878,04/28,452,0
3809,DOCTOR,69749,3559703897410351,03/25,991,0
2201,ENGINEER,38681,3501715507752419,08/31,2430,0
1712,ENGINEER,65716,4926672648516549,10/34,416,0
1507,ENGINEER,11961,4514002864435554,01/34,836,0
9717,ENGINEER,89727,639047030007,06/25,646,0
381,DOCTOR,79041,38356570289407,09/26,727,0
4517,DOCTOR,48509,3544889590956945,02/26,733,1
7440,LAWYER,31994,4508809462505069,01/32,7585,0
3658,LAWYER,85087,4644073362729619,03/28,694,0
2831,DOCTOR,54013,3523656730303113,10/32,774,0
8203,DOCTOR,10908,4254004078985,08/26,790,1
1259,DOCTOR,39651,213157898623641,03/29,74,1
140,ENGINEER,76149,3566442261829661,07/30,68,0
3192,DOCTOR,96341,6589349213805259,08/28,318,0
1084,DOCTOR,30329,4135504815515,10/26,407,0
1153,ENGINEER,52265,4121379911554412,03/29,746,0
2917,ENGINEER,3697,213171982065361,10/29,618,0
1897,ENGINEER,44833,213196018880103,05/32,592,0
8753,ENGINEER,69932,501899190877,06/29,893,0
4445,LAWYER,87174,4772835240517051671,01/33,206,0
9094,ENGINEER,38623,2702076689794391,12/27,250,0
6921,ENGINEER,2959,5182751016309608,02/25,731,0
3718,LAWYER,1645,3552172679456163,10/34,797,0
7627,ENGINEER,59615,349134353908517,06/25,301,1
7565,LAWYER,41017,379986582029164,11/29,156,0
6970,ENGINEER,31489,3580596652170381,12/29,997,0
5720,DOCTOR,6119,4801812264890,10/26,965,0
6776,DOCTOR,66722,4419394640442634502,10/25,416,1
3853,DOCTOR,79074,30109348159297,04/27,124,1
1582,DOCTOR,44195,4583074809669403,11/29,30,1
9943,LAWYER,38572,4959899458056973,04/27,450,1
6317,LAWYER,9615,676233176582,01/30,7691,0
7673,ENGINEER,10873,379934223439772,08/25,893,0
888,DOCTOR,28434,3532270576212062,04/28,131,0
3289,LAWYER,55219,676208262722,06/33,296,0
7409,ENGINEER,98519,4386789291002142397,10/34,278,0
3404,DOCTOR,90606,213121280324630,10/31,196,0
6066,LAWYER,16064,3575530781681445,10/33,370,0
1170,LAWYER,780,5217629107628780,06/27,510,0
837,LAWYER,49621,4496891680742,02/32,418,0
2788,ENGINEER,4753,3573968856586788,01/32,268,0
96,LAWYER,19204,4711633310713188932,05/30,3416,0
6758,DOCTOR,98850,4547768008872420,01/30,44,0
6304,LAWYER,34093,4663061171269386,11/26,621,0
864,DOCTOR,32589,180099592299998,04/33,738,0
9622,LAWYER,55416,30292923684804,05/32,489,0
1280,DOCTOR,48311,4989464450845131,11/30,3197,0
5784,LAWYER,37555,4535729690413,09/29,766,0
8157,DOCTOR,68657,4895530719930683,04/26,358,1
37,DOCTOR,35956,213118318256057,07/29,848,0
3214,LAWYER,32069,3503591218739690,05/25,798,0
8833,DOCTOR,90842,3595788757373399,12/33,241,0
9686,ENGINEER,19245,6011679303049386,11/26,826,1
3576,LAWYER,58312,4330797462909635365,07/33,96,0
3057,ENGINEER,45263,4594248253369917542,07/30,527,0
4027,LAWYER,32338,3522623427819653,08/27,940,0
5022,LAWYER,21526,6526596446079153,04/29,206,1
594,DOCTOR,8482,372051348770895,09/33,279,0
4937,DOCTOR,96384,2720184168383039,11/29,8149,1
1098,DOCTOR,45763,3561828060648663,07/33,111,1
8532,ENGINEER,49020,180062087414993,01/30,887,0
9857,LAWYER,86009,6516110923209960,10/25,160,1
8953,DOCTOR,88323,3576012088920668,12/28,583,0
6712,DOCTOR,13622,4450473995333,10/33,517,1
9065,DOCTOR,99035,3587642173568316,08/29,4872,0
4585,ENGINEER,59569,349742098858084,01/25,461,0
7776,DOCTOR,1765,4886021280038133071,09/32,77,0
5872,ENGINEER,89341,6582687862389076,04/30,277,0
8381,ENGINEER,56566,38631369775604,10/30,472,1
3697,ENGINEER,5885,4210622505407303,08/32,444,1
7242,ENGINEER,83564,3514520604475590,07/28,788,1
7353,LAWYER,8892,3501673160637718,08/30,187,1
4964,DOCTOR,47357,560188762945,06/29,853,0
3551,ENGINEER,54245,4722671324872685,11/26,506,0
1762,ENGINEER,6897,4976358963236785,01/29,967,0
382,DOCTOR,29959,4786847923539,07/28,920,0
9420,DOCTOR,98542,30306223971610,10/31,647,1
10,ENGINEER,18932,4378127464575998663,09/32,637,0
7937,ENGINEER,59153,38592386826384,03/27,55,0
7442,DOCTOR,27786,36130454283154,01/33,494,1
1533,DOCTOR,95350,371540405048774,04/28,500,1
8417,DOCTOR,22576,4470959809173552,03/32,455,0
5107,LAWYER,86588,4310791728842853911,02/25,494,0
1539,ENGINEER,85717,36314124128847,06/28,280,0
3536,LAWYER,30840,6011623186998111,08/33,529,1
8766,DOCTOR,18319,180024782237368,07/30,824,0
7138,LAWYER,43671,503888338962,01/27,271,0
2135,ENGINEER,60067,30330865276070,05/25,357,0
8063,LAWYER,49941,2271848253071153,02/29,861,1
8522,ENGINEER,20077,180039527004899,02/31,927,0
8474,LAWYER,79763,4502901368758035317,12/28,490,0
4972,DOCTOR,27462,6588341576820141,07/26,799,0
9631,LAWYER,63223,60482782251,06/33,826,1
6374,ENGINEER,1649,6588942877378216,04/27,231,0
8591,DOCTOR,94703,3531193629152096,12/32,435,0
9444,LAWYER,38318,6011671652957814,07/33,307,0
4943,DOCTOR,84550,4244804282747,10/34,28,1
4491,DOCTOR,2485,3503569483617353,01/26,456,0
5392,LAWYER,62664,4576289678251647780,06/30,939,1
4753,ENGINEER,87280,30518590690827,12/30,3050,0
3002,LAWYER,71903,3599521081947406,11/33,653,1
9304,LAWYER,37840,2264320983004770,06/32,340,0
2845,LAWYER,7382,6011403656606837,09/32,775,1
2430,DOCTOR,10700,6545184109127200,04/31,608,1
4892,DOCTOR,32772,4295568944627060374,06/26,469,0
3695,ENGINEER,14834,6568506538410496,10/25,560,1
3700,LAWYER,91324,4003440626646,11/32,334,1
5455,DOCTOR,33419,6011137376253963,07/25,453,0
8709,LAWYER,50033,4008335645294970,08/29,334,0
7065,LAWYER,2653,6545732745377496,05/32,813,0
3795,LAWYER,46825,4366199086916330427,11/25,257,0
9117,DOCTOR,81136,4670431463211,02/31,846,1
996,DOCTOR,20439,6537767277725217,04/31,132,0
1423,DOCTOR,4715,4811880890447549,07/33,342,0
8762,LAWYER,50225,3550667110035197,07/34,840,0
1119,ENGINEER,68874,4898271067963920,03/32,614,0
2953,LAWYER,29510,6011074597531523,11/25,843,0
4711,DOCTOR,46632,676232673431,10/31,146,0
6866,DOCTOR,81311,4750438065485035,01/26,212,1
164,LAWYER,17534,30018328917287,09/26,698,0
7791,LAWYER,13027,38615208392713,11/25,468,1
5466,DOCTOR,99068,4779815964935117686,02/31,764,0
1829,ENGINEER,76977,345473961984419,11/33,154,1
5144,LAWYER,35044,4500592105198066,10/34,447,0
4849,DOCTOR,45798,4835743467404,04/30,424,0
8920,LAWYER,22729,4038339733483770,05/26,976,1
9551,ENGINEER,99502,4412080693388031,10/33,395,1
4253,ENGINEER,70640,30071825578755,12/26,878,1
5264,LAWYER,3412,4266309943889127,02/34,297,0
3286,ENGINEER,52804,36638343220377,12/29,380,0
1138,DOCTOR,245,5359190232944814,01/28,388,1
2873,LAWYER,18568,3540041494131746,04/31,287,0
5344,LAWYER,57888,377981209624226,03/32,547,0
9988,ENGINEER,29137,639038193517,07/32,171,1
8061,LAWYER,34213,347144942657626,12/24,325,0
8963,LAWYER,1368,502081884467,12/27,774,0
3911,DOCTOR,36758,5493668732372054,11/32,8421,0
5400,LAWYER,69133,4541347277449273759,11/26,594,1
795,DOCTOR,33245,6502618656148862,01/29,253,1
4248,ENGINEER,27402,4391762491574244,09/30,721,0
5438,DOCTOR,94937,341990795396282,02/31,370,0
5801,LAWYER,9774,30328774189590,07/28,514,0
1350,LAWYER,4232,4901604632385,12/27,799,0
563,ENGINEER,58239,4514316014994546,07/33,698,0
646,DOCTOR,39140,6555405625668352,03/25,183,1
7598,DOCTOR,2181,4640906482649833,12/32,414,0
5406,DOCTOR,93557,4519057061600167711,07/29,7679,0
8952,LAWYER,26955,630408896532,08/31,747,0
621,ENGINEER,56509,3597624012832077,10/30,212,0
6539,LAWYER,77830,4986068194895857,07/25,691,0
6641,DOCTOR,33056,2299751649256587,01/30,147,0
2526,DOCTOR,99470,2385102411582799,03/29,905,0
9282,DOCTOR,22167,341613730111497,08/34,162,0
1281,ENGINEER,38701,4050466514735061,05/32,836,0
431,ENGINEER,71620,676330622850,03/27,303,0
7565,LAWYER,41017,379986582029164,11/29,156,0
2966,ENGINEER,25004,2260432254914613,12/30,242,0
7394,DOCTOR,31329,30043468859099,06/29,485,0
2750,LAWYER,33569,3582224874312586,09/34,376,1
7818,ENGINEER,11173,5355477624371894,06/31,408,0
9868,DOCTOR,89505,4269522204889,10/27,33,1
9393,DOCTOR,566,630459518084,03/27,370,0
6873,LAWYER,54185,4236782320191514,11/24,157,0
408,ENGINEER,53987,4032733313956060438,03/27,965,0
7616,DOCTOR,66291,4547907818773,12/32,156,0
3174,LAWYER,61557,370103857649895,09/27,6850,0
7153,DOCTOR,21451,6011500298550776,10/27,844,0
2785,LAWYER,56782,639001182612,03/26,748,1
6747,DOCTOR,46068,346526310679672,08/25,108,1
9984,LAWYER,93025,4911399699341,01/30,945,1
5041,ENGINEER,36260,502049032142,04/25,555,1
7128,LAWYER,35611,4858258150008554296,11/28,801,0
8570,LAWYER,25628,4036825435246319,02/25,749,0
2283,ENGINEER,14328,6574825348265870,12/26,207,1
2550,LAWYER,49939,3545330810637816,07/30,520,0
3661,DOCTOR,99665,30149800196692,04/29,488,0
8426,DOCTOR,58513,4865350693603420,09/30,704,0
2843,LAWYER,91543,180063746877067,07/34,2869,1
3100,LAWYER,27246,4862331485521841,12/33,300,0
5104,LAWYER,46333,3552901567551200,03/30,979,0
2483,ENGINEER,79382,4994619568090,04/28,543,1
547,DOCTOR,54825,348644263390367,02/33,104,0
1192,LAWYER,72267,4420837115013111,10/29,2266,1
9236,LAWYER,90480,3574764213472054,11/32,765,1
2044,LAWYER,87086,4573976413485244476,02/34,597,0
5770,LAWYER,55828,4159802591732992118,11/26,607,0
6190,ENGINEER,75735,4974914222051837,04/33,765,0
9657,ENGINEER,2483,2273339857233884,08/30,428,0
605,DOCTOR,52852,630416620775,09/27,901,1
6287,LAWYER,39434,346998525910962,03/27,219,0
757,DOCTOR,21212,342116095767100,04/32,278,0
4963,LAWYER,55317,3534674856120374,12/27,229,1
4912,DOCTOR,89254,565187924800,07/33,39,0
5903,LAWYER,12902,4153275431958,05/27,124,0
8331,LAWYER,6522,3528597514394297,01/26,6229,0
5115,DOCTOR,30974,2547341125774848,08/28,754,0
3172,DOCTOR,35958,4371262969067,04/29,414,0
2490,ENGINEER,60615,373248008777488,12/26,59,0
3014,ENGINEER,43057,2476628558576939,03/33,330,0
403,LAWYER,51514,6011096664097161,06/32,161,0
2296,LAWYER,9932,2290651209850267,06/28,234,0
883,DOCTOR,35607,370428506136691,09/31,618,0
6181,DOCTOR,79885,6500891151698069,03/30,350,0
8563,LAWYER,38998,3522296413224293,11/26,685,0
7340,ENGINEER,93536,3598487851417767,11/28,433,1
3279,LAWYER,26846,4771197774594710,11/25,12,0
4552,ENGINEER,87413,2295405708281390,10/28,724,1
4636,ENGINEER,99555,3502541425576113,12/24,344,1
2799,DOCTOR,10167,373662586597037,03/33,194,1
1615,ENGINEER,66962,2284455030387236,11/28,586,1
470,ENGINEER,50990,30595894322257,04/31,38,0
4729,ENGINEER,8326,6011751180519607,09/31,70,0
1093,ENGINEER,32285,30376033592476,05/30,981,0
8990,DOCTOR,23688,4644351058247039393,01/34,959,1
7299,LAWYER,94346,370931675953671,02/30,311,0
7302,ENGINEER,13358,180004996048645,08/31,316,1
9678,LAWYER,13574,2435395082480323,04/30,64,0
510,DOCTOR,99754,4864907721810,09/34,524,1
6496,LAWYER,40051,4757932624357,08/27,757,1
7321,LAWYER,96776,4442396832057,12/32,806,0
1752,ENGINEER,16360,375455762355413,06/28,936,0
8877,DOCTOR,58970,6011781903155991,02/28,212,0
2330,DOCTOR,222,347694073069074,01/26,709,1
2329,ENGINEER,40523,6011078195407853,11/31,804,0
1047,ENGINEER,40948,341929230516625,10/32,677,0
3725,DOCTOR,22801,4570587833848862,10/31,591,1
7477,LAWYER,46079,6592187460525450,07/25,244,1
3095,LAWYER,682,180010217795849,05/26,983,0
6593,ENGINEER,22739,4435108550273518,05/32,329,1
4053,ENGINEER,29761,5210585220923804,03/26,906,0
1230,DOCTOR,17742,4491263732147626,06/28,108,0
397,LAWYER,465,3557978459441190,02/34,868,0
2613,ENGINEER,85203,4061271646644869,12/29,848,0
8392,ENGINEER,82538,4269679600117187,10/34,386,0
759,ENGINEER,49125,3587267886276146,07/34,900,0
4859,DOCTOR,45203,30475696483971,06/25,437,1
4531,LAWYER,17428,2291538381816969,03/28,7427,0
7091,ENGINEER,60539,4219976340868371362,05/32,561,1
2060,LAWYER,93415,343147869926886,06/27,352,1
2497,ENGINEER,42463,376946720981653,03/30,930,0
1383,ENGINEER,6505,6011926011087715,01/26,178,0
9340,ENGINEER,18946,4338381706441309,06/30,282,1
6808,DOCTOR,30950,2720983848805265,06/30,465,0
9196,LAWYER,96138,2249518302769110,02/30,188,0
8983,ENGINEER,78728,502049688968,10/25,578,0
7842,LAWYER,87810,503899693934,11/25,924,1
7784,DOCTOR,28989,3568389633897652,01/34,272,0
6667,DOCTOR,13597,4576318544848148,06/28,126,0
2066,DOCTOR,90680,3538353132138510,02/28,65,0
1871,DOCTOR,60810,180025934540120,03/29,634,0
2329,ENGINEER,40523,6011078195407853,11/31,804,0
4929,LAWYER,31406,60471802094,09/28,6825,0
2819,ENGINEER,73105,2377911115775420,08/33,599,0
1227,DOCTOR,93298,213159040535194,12/28,1239,0
6189,LAWYER,47390,2282676074161656,01/33,301,0
2850,LAWYER,74515,38101109189789,07/25,368,1
2353,LAWYER,83028,4962721264427126104,07/33,851,0
5344,LAWYER,57888,377981209624226,03/32,547,0
7005,DOCTOR,38769,3571266836284265,07/34,870,1
6440,ENGINEER,43874,213138214466634,10/34,47,0
1925,ENGINEER,40050,373737241173786,01/28,220,0
264,ENGINEER,52719,3513554965028905,01/32,654,0
8368,DOCTOR,71721,346504709698215,01/29,366,0
9603,ENGINEER,91664,630426142836,10/34,997,1
196,LAWYER,99114,4560010714144,02/29,948,1
9761,LAWYER,94109,4823741990031,01/30,114,1
4839,DOCTOR,10402,676326744031,07/30,932,0
5357,DOCTOR,72777,6540854068763410,01/30,0,1
1340,DOCTOR,93492,3530738444041055,05/27,976,0
5720,DOCTOR,6119,4801812264890,10/26,965,0
8478,LAWYER,93211,4204522072142689,05/25,92,1
856,DOCTOR,34222,4798868867073,09/33,582,1
4495,LAWYER,3501,4392951922302754024,12/24,527,1
2436,DOCTOR,90163,3531174491432527,08/25,181,1
4386,ENGINEER,69887,4931706986633087,11/24,351,0
6198,DOCTOR,53525,180099897688895,04/27,557,0
3020,ENGINEER,8868,36461107246060,01/33,287,0
7550,LAWYER,94536,379507802613825,04/30,790,0
7835,DOCTOR,97219,4609520150359069,01/30,591,0
4370,LAWYER,25912,676178167877,06/31,848,1
4700,LAWYER,37660,6569820678498438,01/26,357,0
3959,ENGINEER,21385,213123127974809,11/27,319,0
6546,DOCTOR,21245,4255308357835,03/34,441,0
9725,DOCTOR,57826,2281799216790900,06/33,748,0
1782,ENGINEER,30378,3542563645351525,06/25,846,1
7770,DOCTOR,62473,3515663349026200,04/33,706,0
4536,LAWYER,7857,502009954384,04/29,622,0
1248,LAWYER,81170,6574749361015501,10/25,956,0
3851,DOCTOR,59512,180083444762148,03/30,88,1
3824,LAWYER,75691,676212580796,12/26,981,0
2171,DOCTOR,1468,4412852436695470,06/34,458,0
6755,DOCTOR,86972,3509844450076303,04/33,56,0
1299,DOCTOR,11829,639056577021,04/26,6559,0
4914,LAWYER,86285,4381824728838271,05/31,737,0
8286,LAWYER,63408,6011935625234738,01/28,724,1
1535,LAWYER,38750,4151350388666589868,10/29,9720,0
1361,ENGINEER,48602,30551674728841,01/32,847,0
5993,LAWYER,796,2232189349669058,09/28,728,0
140,ENGINEER,76149,3566442261829661,07/30,68,0
2504,DOCTOR,45064,5412914151618892,07/29,538,1
5209,DOCTOR,55437,6011752517757571,02/26,726,0
6152,LAWYER,998,3572514933726954,03/26,955,0
8062,LAWYER,71762,3558466373622169,03/31,6389,0
5014,DOCTOR,79093,5178064797093441,07/30,946,0
8454,ENGINEER,87464,6011218851201501,12/32,35,0
2271,LAWYER,5515,4082380445489957,06/27,610,1
4719,DOCTOR,39763,3596502945720901,05/26,744,0
2150,DOCTOR,31453,345111586960717,07/31,945,1
1455,DOCTOR,81613,561162727987,10/30,579,1
2848,DOCTOR,87951,4711137045337562416,08/32,5095,0
5336,DOCTOR,69858,349696187034629,06/29,682,0
1275,ENGINEER,17204,501882125633,01/28,4583,0
2159,DOCTOR,4656,3522136243931107,11/26,21,0
6479,LAWYER,59539,2246669009894132,01/27,4781,1
283,DOCTOR,22792,501823978710,06/25,449,0
1227,DOCTOR,93298,213159040535194,12/28,1239,0
4309,ENGINEER,82393,2226206280878585,08/34,90,0
8591,DOCTOR,94703,3531193629152096,12/32,435,0
890,DOCTOR,41764,4202097710095609,08/27,419,0
2327,LAWYER,5531,4222945540450871,07/31,482,1
5413,DOCTOR,91371,5316130951971178,05/26,543,0
6716,LAWYER,47759,213120378213952,05/26,257,1
4281,LAWYER,46330,60490556481,11/29,117,1
4208,DOCTOR,69082,4147128448757230175,01/25,717,0
4636,ENGINEER,99555,3502541425576113,12/24,344,1
9131,LAWYER,55982,30459878696683,07/33,537,0
8558,DOCTOR,24009,4784482502663958764,04/29,369,0
9537,DOCTOR,96120,213148010662468,04/31,286,1
9050,DOCTOR,69589,4113932804593801744,12/30,488,1
7202,LAWYER,75691,3581091613428275,05/33,7056,0
7096,DOCTOR,57528,3510126741191548,12/33,7833,0
6634,ENGINEER,90988,639019455810,03/28,148,0
7451,ENGINEER,46012,4313216800958106,09/30,57,0
6524,ENGINEER,50480,2285306401258028,07/32,722,1
5225,DOCTOR,88853,4202915979160599848,11/32,2663,1
6339,LAWYER,13295,4300493497309563,08/27,890,1
1834,ENGINEER,9255,2273193371581645,06/25,627,0
3612,ENGINEER,31322,2681465123862788,05/34,440,0
8546,ENGINEER,87942,2264893129442062,03/28,22,0
3703,ENGINEER,89598,4282167848876466583,12/28,709,1
7035,LAWYER,20657,2267854292537697,07/25,674,0
3256,DOCTOR,48770,3561820859336931,12/32,816,0
1301,ENGINEER,63157,379798166711020,04/33,315,0
5488,ENGINEER,61551,2288508814108982,10/25,438,0
8998,DOCTOR,31926,4714712699933999,04/32,31,0
9110,ENGINEER,27361,3503649503852352,11/31,617,0
7140,LAWYER,77336,502089408350,07/25,425,0
9093,DOCTOR,3359,501843398535,06/33,409,0
3989,ENGINEER,23757,3549358667220838,08/33,881,1
8862,LAWYER,97929,213166854986207,08/33,703,0
4242,LAWYER,53544,375466421156928,06/30,792,1
9983,LAWYER,68724,502019636849,07/33,649,1
4362,DOCTOR,17048,6575995651772843,08/31,984,0
1917,ENGINEER,51330,2231044278012575,07/32,558,0
7524,DOCTOR,94835,4284253913522516,12/25,321,0
852,ENGINEER,66240,377772234567120,11/26,32,0
9398,DOCTOR,76669,6529371920512302,08/31,205,0
4247,ENGINEER,24775,30086608590538,06/26,243,0
5394,ENGINEER,56201,30370502386601,07/31,608,1
216,ENGINEER,84336,2703448668049668,05/33,492,0
1812,DOCTOR,92832,3523801443483030,01/29,67,0
4389,ENGINEER,14270,180036523417026,11/31,8,0
5701,LAWYER,42033,30131020328495,11/30,399,0
8311,ENGINEER,91766,630458892373,01/25,973,0
4574,DOCTOR,4004,342313050175482,06/26,7357,0
1610,DOCTOR,75850,4066973042860107,08/32,994,0
9062,LAWYER,67232,6599232451311735,04/28,504,0
3137,ENGINEER,6521,3516835401471800,03/30,807,0
8045,ENGINEER,68110,4118400406681646,07/29,625,0
1124,DOCTOR,29541,372602799630671,09/25,250,1
7934,LAWYER,77634,180028219984393,06/29,452,0
0,DOCTOR,42509,3515418493460774,07/25,251,1
5312,ENGINEER,78415,370884094708863,03/33,953,0
909,ENGINEER,27810,3552083318380195,06/32,218,1
4244,ENGINEER,71579,213100033702722,06/27,854,0
6641,DOCTOR,33056,2299751649256587,01/30,147,0
7058,ENGINEER,84415,4817280760664409078,06/26,152,1
1847,ENGINEER,29666,180079209782511,06/32,616,0
2924,DOCTOR,1970,6519383637287575,03/25,621,1
6007,DOCTOR,51882,4509921124513156554,06/25,21,1
4528,ENGINEER,80131,30102006747982,09/25,586,0
796,DOCTOR,72914,3563195195838025,11/32,107,1
1872,DOCTOR,76731,3520573180311558,12/28,130,0
5353,LAWYER,75007,30145671951777,10/30,159,0
2389,DOCTOR,82297,3525690864347818,07/27,977,1
3763,ENGINEER,64328,36965058292972,01/26,865,0
2984,DOCTOR,55667,6509464968763798,06/28,288,0
